assessment,year,countrycode,grade,male,subgroup,n_score_timss_math,m_score_timss_math,se_score_timss_math,n_score_timss_scie,m_score_timss_scie,se_score_timss_scie,n_sdg411_scie,m_sdg411_scie,se_sdg411_scie,n_sdg411_math,m_sdg411_math,se_sdg411_math,n_total,n_bul_pv,n_bul_ev_all,n_bul_ev_o,n_bul_ev_trad,n_bul_any,n_bul_c_all
TIMSS,2023,ALB,4,0,all,1155,509.98355,5.076117,1155,494.97543,4.6231413,1155,.89722681,.018436899,1155,.91363531,.017359395,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_any=1,319,492.11615,7.4854693,319,481.91812,6.2353277,319,.86183691,.03282715,319,.86725909,.033115819,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_c_all=0,964,508.49664,5.5837789,964,494.47852,5.04953,964,.90421832,.021403389,964,.91567391,.020370228,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_c_all=1,191,517.16968,14.556914,191,497.37692,15.271808,191,.86343682,.054423742,191,.90378273,.038009025,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_ev_all=0,836,517.0119,5.7718086,836,500.11166,5.736927,836,.91114789,.025120504,836,.93187797,.020499915,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_ev_all=1,319,492.11615,7.4854693,319,481.91812,6.2353277,319,.86183691,.03282715,319,.86725909,.033115819,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_ev_o=0,1081,513.89642,5.1666422,1081,498.79059,4.8030529,1081,.91087043,.019016752,1081,.92604798,.016257556,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_ev_o=1,74,463.16385,12.080582,74,449.32516,11.50233,74,.73397481,.07791058,74,.76511204,.07675463,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_ev_trad=0,847,516.63989,5.8919125,847,499.69058,5.7428164,847,.90952498,.024936173,847,.93054116,.020888124,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_ev_trad=1,308,492.24512,7.7487893,308,482.41,6.2700019,308,.86445355,.033868674,308,.86858302,.032874733,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_pv=0,1019,513.13885,5.3209286,1019,498.22775,5.0857263,1019,.90902907,.019687584,1019,.92341244,.016990758,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,0,bul_pv=1,136,487.64941,10.78742,136,471.9545,7.8471942,136,.81368679,.05707087,136,.84442973,.054640442,1155,136,319,74,308,319,191
TIMSS,2023,ALB,4,1,all,1219,513.07245,5.3505716,1219,486.52264,4.5020757,1219,.85722893,.024222312,1219,.90467232,.017260719,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_any=1,419,493.1449,7.1396437,419,471.48169,5.9019976,419,.80855173,.034194764,419,.867998,.030630663,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_c_all=0,1044,513.26221,5.9873424,1044,486.77658,4.8041015,1044,.86292189,.025379548,1044,.90638161,.018740082,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_c_all=1,175,511.88629,15.139789,175,484.93527,15.051909,175,.82164299,.062242027,175,.89398754,.046519123,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_ev_all=0,800,523.56934,6.1664419,800,494.44553,5.3411126,800,.8828699,.026771709,800,.92399067,.022314763,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_ev_all=1,419,493.1449,7.1396437,419,471.48169,5.9019976,419,.80855173,.034194764,419,.867998,.030630663,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_ev_o=0,1104,519.02631,5.2183213,1104,492.01758,4.758718,1104,.87657541,.024566842,1104,.92264336,.015870094,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_ev_o=1,115,460.74631,13.248005,115,438.22992,9.6147575,115,.68720067,.054693498,115,.7467317,.069604091,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_ev_trad=0,809,523.32324,6.1762767,809,494.07986,5.3051267,809,.88289624,.026578926,809,.92511076,.021986838,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_ev_trad=1,410,492.74377,7.3782969,410,471.53574,6.1608562,410,.80632758,.034512799,410,.86414027,.031402409,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_pv=0,1009,519.93811,5.1151919,1009,491.64694,4.6333852,1009,.87976116,.024396632,1009,.92591846,.016290069,1219,210,419,115,410,419,175
TIMSS,2023,ALB,4,1,bul_pv=1,210,479.43347,10.987178,210,461.41583,8.7911749,210,.74683076,.048443079,210,.80057508,.051853742,1219,210,419,115,410,419,175
TIMSS,2023,ARE,4,0,all,17060,491.13293,1.7995256,17060,494.33145,2.1049345,17060,.78285408,.0057284632,17060,.79347879,.0066708527,17060,6454,9206,3733,8887,9206,4189
TIMSS,2023,ARE,4,0,bul_any=1,9206,473.19031,2.2253983,9206,474.18213,2.5193377,9206,.72355306,.0076243351,9206,.74091572,.0097840698,17060,6454,9206,3733,8887,9206,4189
TIMSS,2023,ARE,4,0,bul_c_all=0,12871,495.26187,2.1212363,12871,499.0293,2.4482801,12871,.7950598,.0067219683,12871,.80512404,.0076312558,17060,6454,9206,3733,8887,9206,4189
TIMSS,2023,ARE,4,0,bul_c_all=1,4189,477.61517,2.4483833,4189,478.95126,2.746618,4189,.74289393,.0092834979,4189,.75535351,.011919992,17060,6454,9206,3733,8887,9206,4189
TIMSS,2023,ARE,4,0,bul_ev_all=0,7854,512.69727,2.0569265,7854,518.54797,2.5772123,7854,.85412514,.0077450303,7854,.85665184,.0065025231,17060,6454,9206,3733,8887,9206,4189
TIMSS,2023,ARE,4,0,bul_ev_all=1,9206,473.19031,2.2253983,9206,474.18213,2.5193377,9206,.72355306,.0076243351,9206,.74091572,.0097840698,17060,6454,9206,3733,8887,9206,4189
TIMSS,2023,ARE,4,0,bul_ev_o=0,13327,506.76553,1.8642627,13327,513.72479,2.1649144,13327,.84483492,.0062317192,13327,.84654647,.0062101129,17060,6454,9206,3733,8887,9206,4189
TIMSS,2023,ARE,4,0,bul_ev_o=1,3733,432.44534,3.0010407,3733,421.52539,3.4142191,3733,.5501669,.012903374,3733,.5942533,.014302069,17060,6454,9206,3733,8887,9206,4189
TIMSS,2023,ARE,4,0,bul_ev_trad=0,8173,511.40479,2.0240583,8173,517.14886,2.4831529,8173,.85032767,.0074646338,8173,.85259771,.0059841787,17060,6454,9206,3733,8887,9206,4189
TIMSS,2023,ARE,4,0,bul_ev_trad=1,8887,472.88232,2.2036595,8887,473.78915,2.570714,8887,.72210813,.0079421569,8887,.74025446,.01021537,17060,6454,9206,3733,8887,9206,4189
TIMSS,2023,ARE,4,0,bul_pv=0,10606,508.50244,2.0169168,10606,514.48792,2.3592107,10606,.84178782,.0070831464,10606,.84607726,.0059233657,17060,6454,9206,3733,8887,9206,4189
TIMSS,2023,ARE,4,0,bul_pv=1,6454,462.90045,2.2570584,6454,461.56915,2.6576746,6454,.68706304,.0085534165,6454,.7079851,.010780483,17060,6454,9206,3733,8887,9206,4189
TIMSS,2023,ARE,4,1,all,17782,504.70718,1.4881222,17782,495.5386,2.2795689,17782,.77730936,.0071819038,17782,.81290746,.0058970898,17782,8111,10902,4767,10661,10902,4398
TIMSS,2023,ARE,4,1,bul_any=1,10902,494.52039,1.8615557,10902,483.44901,2.3795676,10902,.74276662,.0080886427,10902,.78630865,.007031573,17782,8111,10902,4767,10661,10902,4398
TIMSS,2023,ARE,4,1,bul_c_all=0,13384,508.79248,1.8177824,13384,500.28592,2.6494751,13384,.78921747,.0088491505,13384,.82347476,.0071327765,17782,8111,10902,4767,10661,10902,4398
TIMSS,2023,ARE,4,1,bul_c_all=1,4398,491.1217,3.081594,4398,479.7515,4.021575,4398,.73770946,.014459771,4398,.77776641,.01234701,17782,8111,10902,4767,10661,10902,4398
TIMSS,2023,ARE,4,1,bul_ev_all=0,6880,521.32428,1.9489048,6880,515.25952,2.9047999,6880,.83365673,.0082290471,6880,.85629642,.006799126,17782,8111,10902,4767,10661,10902,4398
TIMSS,2023,ARE,4,1,bul_ev_all=1,10902,494.52039,1.8615557,10902,483.44901,2.3795676,10902,.74276662,.0080886427,10902,.78630865,.007031573,17782,8111,10902,4767,10661,10902,4398
TIMSS,2023,ARE,4,1,bul_ev_o=0,13015,522.03265,1.4670128,13015,517.12146,2.4024396,13015,.83971757,.0069044353,13015,.86148673,.0056719119,17782,8111,10902,4767,10661,10902,4398
TIMSS,2023,ARE,4,1,bul_ev_o=1,4767,456.07333,2.6168058,4767,434.95395,3.082653,4767,.60212511,.012121629,4767,.67654216,.01161981,17782,8111,10902,4767,10661,10902,4398
TIMSS,2023,ARE,4,1,bul_ev_trad=0,7121,519.64984,1.8731675,7121,513.25208,2.873713,7121,.82788748,.0082178395,7121,.85074645,.0065562823,17782,8111,10902,4767,10661,10902,4398
TIMSS,2023,ARE,4,1,bul_ev_trad=1,10661,494.9613,1.8869543,10661,483.9855,2.3838198,10661,.74432135,.0081180204,10661,.78822815,.0073062284,17782,8111,10902,4767,10661,10902,4398
TIMSS,2023,ARE,4,1,bul_pv=0,9671,518.78522,1.6103739,9671,512.04565,2.4310341,9671,.82318461,.0065608523,9671,.8474952,.0053289412,17782,8111,10902,4767,10661,10902,4398
TIMSS,2023,ARE,4,1,bul_pv=1,8111,488.1203,2.1202941,8111,476.08972,2.7411563,8111,.72325855,.0096960254,8111,.77215576,.0085672932,17782,8111,10902,4767,10661,10902,4398
TIMSS,2023,ARE,8,0,all,16663,482.14212,1.9165938,16663,488.59973,2.0606961,16663,.56293005,.0078260889,16663,.52718443,.0089471824,16663,4895,8483,3243,8200,8549,3183
TIMSS,2023,ARE,8,0,bul_any=1,8549,466.46078,2.1068971,8549,471.00412,2.3805103,8549,.4995268,.0088692373,8549,.46219346,.010351556,16663,4895,8483,3243,8200,8549,3183
TIMSS,2023,ARE,8,0,bul_c_all=0,13480,481.45786,2.3181286,13480,488.58139,2.3873572,13480,.55947679,.009352874,13480,.52343088,.010762681,16663,4895,8483,3243,8200,8549,3183
TIMSS,2023,ARE,8,0,bul_c_all=1,3183,485.17957,6.4223371,3183,488.68121,7.8374743,3183,.57825893,.026540082,3183,.54384613,.025663935,16663,4895,8483,3243,8200,8549,3183
TIMSS,2023,ARE,8,0,bul_ev_all=0,8180,497.89587,2.5960362,8180,506.25137,2.5991271,8180,.62626415,.010668853,8180,.59200168,.011392663,16663,4895,8483,3243,8200,8549,3183
TIMSS,2023,ARE,8,0,bul_ev_all=1,8483,466.48715,2.0964355,8483,471.05872,2.3860793,8483,.49999285,.0089695724,8483,.46277344,.010389483,16663,4895,8483,3243,8200,8549,3183
TIMSS,2023,ARE,8,0,bul_ev_o=0,13420,492.10843,2.0670199,13420,501.05432,2.1408765,13420,.60649258,.0085220346,13420,.56894076,.0099517871,16663,4895,8483,3243,8200,8549,3183
TIMSS,2023,ARE,8,0,bul_ev_o=1,3243,439.39703,3.6433311,3243,435.18237,3.9300978,3243,.37609157,.013970105,3243,.34809271,.015421948,16663,4895,8483,3243,8200,8549,3183
TIMSS,2023,ARE,8,0,bul_ev_trad=0,8463,497.92105,2.5416033,8463,506.2583,2.5595112,8463,.62628323,.010459754,8463,.59322327,.011020882,16663,4895,8483,3243,8200,8549,3183
TIMSS,2023,ARE,8,0,bul_ev_trad=1,8200,465.31152,2.1255858,8200,469.76419,2.4502578,8200,.49535432,.0091880923,8200,.45674405,.010716558,16663,4895,8483,3243,8200,8549,3183
TIMSS,2023,ARE,8,0,bul_pv=0,11768,495.09393,2.1657727,11768,504.57629,2.2361801,11768,.62161827,.0093824565,11768,.58153105,.010119071,16663,4895,8483,3243,8200,8549,3183
TIMSS,2023,ARE,8,0,bul_pv=1,4895,449.62863,2.4475186,4895,448.49301,2.60777,4895,.41560221,.010223263,4895,.39075547,.011412679,16663,4895,8483,3243,8200,8549,3183
TIMSS,2023,ARE,8,1,all,16077,494.70422,2.1032209,16077,484.05197,2.7140512,16077,.54583019,.010232098,16077,.57250094,.008833359,16077,6529,9285,4580,9032,9377,3768
TIMSS,2023,ARE,8,1,bul_any=1,9377,484.96225,2.1751893,9377,472.60547,2.785594,9377,.50444704,.010871177,9377,.53492987,.010039206,16077,6529,9285,4580,9032,9377,3768
TIMSS,2023,ARE,8,1,bul_c_all=0,12309,494.62387,2.716634,12309,483.76846,3.4849024,12309,.54607195,.013062365,12309,.57041669,.011254626,16077,6529,9285,4580,9032,9377,3768
TIMSS,2023,ARE,8,1,bul_c_all=1,3768,494.99664,4.8025708,3768,485.08392,5.407835,3768,.54495013,.021847419,3768,.58008766,.024101757,16077,6529,9285,4580,9032,9377,3768
TIMSS,2023,ARE,8,1,bul_ev_all=0,6792,507.99545,2.7540929,6792,499.75171,3.3545303,6792,.60305029,.012092423,6792,.62463361,.011334234,16077,6529,9285,4580,9032,9377,3768
TIMSS,2023,ARE,8,1,bul_ev_all=1,9285,484.82397,2.191726,9285,472.38132,2.8004453,9285,.50329483,.010916188,9285,.53374732,.010054594,16077,6529,9285,4580,9032,9377,3768
TIMSS,2023,ARE,8,1,bul_ev_o=0,11497,508.63922,2.2172582,11497,502.83881,2.8015201,11497,.61423516,.010291207,11497,.62903869,.0091640158,16077,6529,9285,4580,9032,9377,3768
TIMSS,2023,ARE,8,1,bul_ev_o=1,4580,457.59106,2.6247375,4580,434.01691,3.102339,4580,.36364707,.011677124,4580,.42192385,.012684184,16077,6529,9285,4580,9032,9377,3768
TIMSS,2023,ARE,8,1,bul_ev_trad=0,7045,506.73834,2.652137,7045,498.27509,3.2601242,7045,.59907138,.011776179,7045,.62077707,.01102807,16077,6529,9285,4580,9032,9377,3768
TIMSS,2023,ARE,8,1,bul_ev_trad=1,9032,485.14215,2.2170982,9032,472.75055,2.823633,9032,.50352585,.011032807,9032,.53414172,.010077796,16077,6529,9285,4580,9032,9377,3768
TIMSS,2023,ARE,8,1,bul_pv=0,9548,510.09253,2.6174846,9548,503.21243,3.1221273,9548,.61480141,.01059109,9548,.63439673,.0099798068,16077,6529,9285,4580,9032,9377,3768
TIMSS,2023,ARE,8,1,bul_pv=1,6529,471.24976,2.5510724,6529,454.84811,3.052192,6529,.44070619,.012072438,6529,.47816107,.011864858,16077,6529,9285,4580,9032,9377,3768
TIMSS,2023,ARM,4,0,all,2375,511.88724,3.3916326,2375,456.25409,2.9971869,2375,.82477808,.016803296,2375,.9310143,.011369891,2375,409,855,299,826,855,265
TIMSS,2023,ARM,4,0,bul_any=1,855,490.91788,3.7468476,855,439.11148,3.2870078,855,.73964691,.023912791,855,.88833445,.021956448,2375,409,855,299,826,855,265
TIMSS,2023,ARM,4,0,bul_c_all=0,2110,510.64136,3.8014545,2110,454.7467,3.3828185,2110,.81947654,.019048121,2110,.92805719,.013161451,2375,409,855,299,826,855,265
TIMSS,2023,ARM,4,0,bul_c_all=1,265,520.48315,7.2734761,265,466.65436,7.9146829,265,.86135542,.03349565,265,.95141673,.012017792,2375,409,855,299,826,855,265
TIMSS,2023,ARM,4,0,bul_ev_all=0,1520,522.75909,3.5760453,1520,465.14191,3.2134905,1520,.86891538,.017147724,1520,.95314223,.0090100504,2375,409,855,299,826,855,265
TIMSS,2023,ARM,4,0,bul_ev_all=1,855,490.91788,3.7468476,855,439.11148,3.2870078,855,.73964691,.023912791,855,.88833445,.021956448,2375,409,855,299,826,855,265
TIMSS,2023,ARM,4,0,bul_ev_o=0,2076,517.16479,3.2680891,2076,460.69919,2.8442414,2076,.84869599,.01494546,2076,.94230223,.0094574988,2375,409,855,299,826,855,265
TIMSS,2023,ARM,4,0,bul_ev_o=1,299,473.44067,6.5643954,299,423.87186,5.9582267,299,.65053767,.046982996,299,.84878278,.036355667,2375,409,855,299,826,855,265
TIMSS,2023,ARM,4,0,bul_ev_trad=0,1549,522.23828,3.5467582,1549,464.75269,3.1945627,1549,.86676997,.016798755,1549,.95113695,.0090615321,2375,409,855,299,826,855,265
TIMSS,2023,ARM,4,0,bul_ev_trad=1,826,491.19058,3.8878288,826,439.26138,3.3315971,826,.74081635,.024417926,826,.89077967,.02274666,2375,409,855,299,826,855,265
TIMSS,2023,ARM,4,0,bul_pv=0,1966,517.48553,3.2826846,1966,460.80417,2.9672856,1966,.85077959,.01572106,1966,.94601572,.0091283042,2375,409,855,299,826,855,265
TIMSS,2023,ARM,4,0,bul_pv=1,409,483.56927,6.5066938,409,433.23837,4.9151783,409,.69325364,.034254164,409,.85513234,.033293825,2375,409,855,299,826,855,265
TIMSS,2023,ARM,4,1,all,2480,513.35565,2.8880265,2480,458.28918,3.2019904,2480,.82455993,.018059485,2480,.93424112,.0072926031,2480,635,1110,479,1068,1110,286
TIMSS,2023,ARM,4,1,bul_any=1,1110,500.82593,3.6397173,1110,447.8447,3.4374082,1110,.77340263,.023479914,1110,.90901107,.01185442,2480,635,1110,479,1068,1110,286
TIMSS,2023,ARM,4,1,bul_c_all=0,2194,513.61072,3.241524,2194,458.49451,3.4051857,2194,.82275146,.019303061,2194,.93221086,.0077769328,2480,635,1110,479,1068,1110,286
TIMSS,2023,ARM,4,1,bul_c_all=1,286,511.45224,7.3561234,286,456.75693,6.927319,286,.83805668,.038326357,286,.94939315,.02724378,2480,635,1110,479,1068,1110,286
TIMSS,2023,ARM,4,1,bul_ev_all=0,1370,522.62897,3.037674,1370,466.01923,3.7148361,1370,.86242175,.017792007,1370,.952914,.0073048426,2480,635,1110,479,1068,1110,286
TIMSS,2023,ARM,4,1,bul_ev_all=1,1110,500.82593,3.6397173,1110,447.8447,3.4374082,1110,.77340263,.023479914,1110,.90901107,.01185442,2480,635,1110,479,1068,1110,286
TIMSS,2023,ARM,4,1,bul_ev_o=0,2001,518.78436,3.0211866,2001,462.92996,3.6055877,2001,.84805715,.01876569,2001,.94406885,.0072681536,2480,635,1110,479,1068,1110,286
TIMSS,2023,ARM,4,1,bul_ev_o=1,479,488.15225,4.4622068,479,436.74393,3.9823477,479,.71547145,.032234859,479,.88861471,.020329235,2480,635,1110,479,1068,1110,286
TIMSS,2023,ARM,4,1,bul_ev_trad=0,1412,521.30743,3.0766664,1412,464.9985,3.681479,1412,.85557067,.018170826,1412,.94969577,.0079619754,2480,635,1110,479,1068,1110,286
TIMSS,2023,ARM,4,1,bul_ev_trad=1,1068,501.76251,3.6057048,1068,448.50751,3.4335032,1068,.77934849,.023520557,1068,.91170931,.011824767,2480,635,1110,479,1068,1110,286
TIMSS,2023,ARM,4,1,bul_pv=0,1845,519.06079,3.0225704,1845,462.94794,3.6647754,1845,.84740621,.020330649,1845,.94568509,.0073752073,2480,635,1110,479,1068,1110,286
TIMSS,2023,ARM,4,1,bul_pv=1,635,494.54782,4.279809,635,442.931,3.6311615,635,.74924392,.024226164,635,.89651436,.01873132,2480,635,1110,479,1068,1110,286
TIMSS,2023,AUS,4,0,all,2826,513.97327,3.0623686,2826,544.63513,2.8472741,2826,.95334744,.0054353978,2826,.89564532,.0095026223,2826,954,1447,361,1378,1447,815
TIMSS,2023,AUS,4,0,bul_any=1,1447,502.44403,3.6137192,1447,537.2218,3.6059763,1447,.94337237,.0084831286,1447,.8774178,.015197777,2826,954,1447,361,1378,1447,815
TIMSS,2023,AUS,4,0,bul_c_all=0,2011,523.66107,3.5532532,2011,552.85071,3.283206,2011,.96863568,.0061137713,2011,.92083299,.0092351558,2826,954,1447,361,1378,1447,815
TIMSS,2023,AUS,4,0,bul_c_all=1,815,489.33115,6.4479246,815,523.73779,5.0000882,815,.91445976,.013309857,815,.83157712,.022122119,2826,954,1447,361,1378,1447,815
TIMSS,2023,AUS,4,0,bul_ev_all=0,1379,525.54926,3.4544432,1379,552.07849,3.2089994,1379,.96336293,.0080618737,1379,.91394675,.0088719958,2826,954,1447,361,1378,1447,815
TIMSS,2023,AUS,4,0,bul_ev_all=1,1447,502.44403,3.6137192,1447,537.2218,3.6059763,1447,.94337237,.0084831286,1447,.8774178,.015197777,2826,954,1447,361,1378,1447,815
TIMSS,2023,AUS,4,0,bul_ev_o=0,2465,519.02533,3.2408226,2465,549.29431,2.886034,2465,.96101201,.0053790901,2465,.91100985,.0092537748,2826,954,1447,361,1378,1447,815
TIMSS,2023,AUS,4,0,bul_ev_o=1,361,478.40604,6.9030256,361,511.83386,5.675694,361,.89938772,.017673286,361,.78747618,.031635355,2826,954,1447,361,1378,1447,815
TIMSS,2023,AUS,4,0,bul_ev_trad=0,1448,525.21906,3.5279038,1448,552.04218,3.1835768,1448,.9625805,.0080008162,1448,.91367519,.0093304571,2826,954,1447,361,1378,1447,815
TIMSS,2023,AUS,4,0,bul_ev_trad=1,1378,501.4646,3.7068849,1378,536.3963,3.7628193,1378,.94307756,.0087296953,1378,.87559074,.015999416,2826,954,1447,361,1378,1447,815
TIMSS,2023,AUS,4,0,bul_pv=0,1872,521.3067,3.4225078,1872,550.21674,3.1004477,1872,.95944053,.0058889291,1872,.9080922,.011021876,2826,954,1447,361,1378,1447,815
TIMSS,2023,AUS,4,0,bul_pv=1,954,499.19452,4.2233286,954,533.38684,3.9204438,954,.94106841,.0097531145,954,.8705616,.019376904,2826,954,1447,361,1378,1447,815
TIMSS,2023,AUS,4,1,all,2644,536.75958,3.2198801,2644,554.77747,2.8131955,2644,.95150471,.0062554618,2644,.91664106,.010408003,2644,1079,1536,335,1496,1536,749
TIMSS,2023,AUS,4,1,bul_any=1,1536,534.75208,3.8378353,1536,554.55713,3.5294721,1536,.95145798,.0069038463,1536,.9217959,.01121882,2644,1079,1536,335,1496,1536,749
TIMSS,2023,AUS,4,1,bul_c_all=0,1895,545.69989,3.8772569,1895,562.11005,3.3227148,1895,.96121305,.0068922951,1895,.93332303,.012662508,2644,1079,1536,335,1496,1536,749
TIMSS,2023,AUS,4,1,bul_c_all=1,749,514.39258,6.5484014,749,536.43256,5.3072023,749,.92721611,.015654726,749,.87490577,.01996127,2644,1079,1536,335,1496,1536,749
TIMSS,2023,AUS,4,1,bul_ev_all=0,1108,539.36523,4.5675044,1108,555.06348,3.6306963,1108,.95156533,.0093319314,1108,.90995038,.01561006,2644,1079,1536,335,1496,1536,749
TIMSS,2023,AUS,4,1,bul_ev_all=1,1536,534.75208,3.8378353,1536,554.55713,3.5294721,1536,.95145798,.0069038463,1536,.9217959,.01121882,2644,1079,1536,335,1496,1536,749
TIMSS,2023,AUS,4,1,bul_ev_o=0,2309,543.0365,3.237144,2309,560.78424,2.7641726,2309,.96404439,.0056907502,2309,.93104279,.010116867,2644,1079,1536,335,1496,1536,749
TIMSS,2023,AUS,4,1,bul_ev_o=1,335,490.33789,7.795342,335,510.35355,7.5912085,335,.85876626,.025217496,335,.81013155,.031590711,2644,1079,1536,335,1496,1536,749
TIMSS,2023,AUS,4,1,bul_ev_trad=0,1148,538.24591,4.4583774,1148,554.20349,3.5510132,1148,.95069778,.0093396921,1148,.90910399,.016157389,2644,1079,1536,335,1496,1536,749
TIMSS,2023,AUS,4,1,bul_ev_trad=1,1496,535.54315,3.8722992,1496,555.24725,3.5380397,1496,.95216513,.0068665426,1496,.92280966,.011570353,2644,1079,1536,335,1496,1536,749
TIMSS,2023,AUS,4,1,bul_pv=0,1565,542.03064,3.9042089,1565,558.38892,3.2346451,1565,.95642358,.0074259336,1565,.91643339,.011922252,2644,1079,1536,335,1496,1536,749
TIMSS,2023,AUS,4,1,bul_pv=1,1079,528.83252,4.405333,1079,549.34625,4.4989095,1079,.94410729,.0095605245,1079,.91695338,.015043165,2644,1079,1536,335,1496,1536,749
TIMSS,2023,AUS,8,0,all,4062,501.62054,4.0269289,4062,513.01471,3.9492507,4062,.67781001,.017922055,4062,.61259711,.018154312,4062,1447,2263,943,2204,2274,1468
TIMSS,2023,AUS,8,0,bul_any=1,2274,494.44028,4.9743304,2274,506.89096,4.8741755,2274,.65305459,.023807747,2274,.58415204,.022844248,4062,1447,2263,943,2204,2274,1468
TIMSS,2023,AUS,8,0,bul_c_all=0,2594,514.64752,4.7984567,2594,524.08899,4.6629744,2594,.72231919,.020601626,2594,.66659135,.022463184,4062,1447,2263,943,2204,2274,1468
TIMSS,2023,AUS,8,0,bul_c_all=1,1468,478.15567,7.167253,1468,493.06711,6.6288342,1468,.59763759,.033618379,1468,.51533985,.034169428,4062,1447,2263,943,2204,2274,1468
TIMSS,2023,AUS,8,0,bul_ev_all=0,1799,510.99194,4.673954,1799,520.96552,4.5856862,1799,.71101594,.02160351,1799,.6501317,.020632818,4062,1447,2263,943,2204,2274,1468
TIMSS,2023,AUS,8,0,bul_ev_all=1,2263,494.57809,4.9986482,2263,507.03976,4.8581052,2263,.65285629,.023774551,2263,.58439052,.022806801,4062,1447,2263,943,2204,2274,1468
TIMSS,2023,AUS,8,0,bul_ev_o=0,3119,508.95728,4.0730515,3119,521.35364,3.8758914,3119,.71476346,.018648935,3119,.64643824,.018880926,4062,1447,2263,943,2204,2274,1468
TIMSS,2023,AUS,8,0,bul_ev_o=1,943,479.18088,5.4831309,943,487.50977,5.7069063,943,.56478643,.031058919,943,.50909281,.028649954,4062,1447,2263,943,2204,2274,1468
TIMSS,2023,AUS,8,0,bul_ev_trad=0,1858,511.1629,4.7129016,1858,521.26123,4.5637155,1858,.71095216,.021456318,1858,.65166157,.020544801,4062,1447,2263,943,2204,2274,1468
TIMSS,2023,AUS,8,0,bul_ev_trad=1,2204,494.1319,5.0084839,2204,506.54294,4.8726525,2204,.65180063,.024075881,2204,.58194011,.023209931,4062,1447,2263,943,2204,2274,1468
TIMSS,2023,AUS,8,0,bul_pv=0,2615,509.31934,4.6406555,2615,521.0108,4.2758026,2615,.71121264,.019310735,2615,.64907658,.020350255,4062,1447,2263,943,2204,2274,1468
TIMSS,2023,AUS,8,0,bul_pv=1,1447,488.15463,4.3943272,1447,499.02872,4.7195663,1447,.61938548,.026321581,1447,.54879099,.024725679,4062,1447,2263,943,2204,2274,1468
TIMSS,2023,AUS,8,1,all,4380,514.98517,4.159461,4380,526.45709,3.9380589,4380,.71493369,.015855456,4380,.6660766,.017730556,4380,1871,2551,949,2500,2572,1737
TIMSS,2023,AUS,8,1,bul_any=1,2572,519.77631,4.1789727,2572,533.37952,3.8782549,2572,.74235982,.015538598,2572,.68354452,.018678995,4380,1871,2551,949,2500,2572,1737
TIMSS,2023,AUS,8,1,bul_c_all=0,2643,525.46649,4.8653216,2643,534.36462,4.790832,2643,.74373204,.020428771,2643,.71141195,.02250264,4380,1871,2551,949,2500,2572,1737
TIMSS,2023,AUS,8,1,bul_c_all=1,1737,497.63657,7.9091392,1737,513.36853,7.0156589,1737,.66726661,.02752614,1737,.59103739,.037018936,4380,1871,2551,949,2500,2572,1737
TIMSS,2023,AUS,8,1,bul_ev_all=0,1829,508.32004,5.7723255,1829,516.83539,5.6201172,1829,.67669863,.025177386,1829,.64257663,.025900623,4380,1871,2551,949,2500,2572,1737
TIMSS,2023,AUS,8,1,bul_ev_all=1,2551,519.90417,4.1956806,2551,533.55798,3.8814275,2551,.74315155,.015483102,2551,.68341976,.018765019,4380,1871,2551,949,2500,2572,1737
TIMSS,2023,AUS,8,1,bul_ev_o=0,3431,517.8241,4.5046191,3431,530.04626,4.2271771,3431,.72730619,.018490998,3431,.67835295,.020349218,4380,1871,2551,949,2500,2572,1737
TIMSS,2023,AUS,8,1,bul_ev_o=1,949,504.84579,5.7366419,949,513.63806,6.0231504,949,.67074424,.026517937,949,.62223047,.028886445,4380,1871,2551,949,2500,2572,1737
TIMSS,2023,AUS,8,1,bul_ev_trad=0,1880,509.1503,5.6796989,1880,517.61206,5.5954599,1880,.68113405,.02488438,1880,.64665538,.025083436,4380,1871,2551,949,2500,2572,1737
