countrycode,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,grade,male,year,bullying_pv25,bullying_pv50,bullying_pv75,bullying_ev_all25,bullying_ev_all50,bullying_ev_all75,bullying_ev_online25,bullying_ev_online50,bullying_ev_online75,bullying_ev_trad25,bullying_ev_trad50,bullying_ev_trad75,bullying_c_all,violence_c_all,violence_c_cp,violence_c_teach,bullying_index,bullying_pv,bullying_ev_all,bullying_ev_online,bullying_ev_trad
QAT,Qatar,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,8,0,2023,,,,,,,,,,,,,.10125361,.10125361,.069431052,.067020252,10.23750495061695,.30133641,.52198684,.15701924,.50859046
QAT,Qatar,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,8,1,2023,,,,,,,,,,,,,.15017986,.15017986,.12005395,.11510792,9.389498846673275,.44133875,.60704988,.26561385,.59448785
ROM,,,,,,,,,,8,-9,2019,.4848485,.12121212,0,.46464646,.37878788,.070707068,.11111111,.005050505,0,.50505048,.35858586,.05050505,.16687006,.18495563,.10249463,.068796173,9.639606914325267,.290185,.46953177,.12614563,.45391393
ROM,,,,,,,,,,8,0,2019,,,,,,,,,,,,,.18291506,.20160814,.11989673,.086049177,9.669900521234615,.23674126,.44832835,.11101865,.43350646
ROM,,,,,,,,,,8,1,2019,,,,,,,,,,,,,.15086123,.16834065,.085131757,.051582061,9.608162942129434,.34518313,.4913519,.14171258,.47491494
ROM,,,,,,,,,,4,-9,2023,.56923079,.092307694,.0076923077,.36923078,.47692308,.053846154,.23076923,.023076924,0,.3923077,.44615385,.053846154,.48807642,1,.43393624,1,9.921726697170273,.30138284,.49898419,.16897398,.48686653
ROM,,,,,,,,,,4,0,2023,,,,,,,,,,,,,.49052003,1,.43290386,1,10.19424095765128,.26564148,.46251789,.15084077,.45109719
ROM,,,,,,,,,,4,1,2023,,,,,,,,,,,,,.48568344,1,.43494722,1,9.64899822828035,.33606109,.53436583,.18656783,.52157193
ROM,,,,,,,,,,8,-9,2023,.578125,.28125,.015625,.203125,.5703125,.1953125,.4140625,.0703125,0,.2109375,.5703125,.1875,.45469934,.46403766,.42539376,.41605544,9.359056685665614,.4134039,.60045135,.24622713,.59230655
ROM,,,,,,,,,,8,0,2023,,,,,,,,,,,,,.47555736,.48526534,.43823135,.42852336,9.51090940868538,.37715727,.59223133,.20692645,.58397669
ROM,,,,,,,,,,8,1,2023,,,,,,,,,,,,,.4352082,.44420111,.41339749,.40440455,9.214925549382441,.44716483,.60810769,.28283265,.60006517
RUS,Russian Federation,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,-9,2019,.5,.16500001,.0049999999,.185,.51999998,.255,.14,.0049999999,0,.19499999,.55000001,.215,.026075384,1,.021667887,1,9.606995130679582,.32569817,.61451942,.14014505,.59751523
RUS,Russian Federation,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,0,2019,,,,,,,,,,,,,.027704423,1,.02447705,1,9.718922591063857,.30033299,.58051759,.13816816,.56081963
RUS,Russian Federation,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,1,2019,,,,,,,,,,,,,.024408106,1,.01879278,1,9.491709096618239,.35187861,.64961404,.14218546,.63539034
RUS,Russian Federation,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,8,-9,2019,.15196079,0,0,.55392158,.27941176,.019607844,.10784314,0,0,.58823532,.21078432,.014705882,.032571208,.032571208,.022602428,.018045612,10.32340273942119,.12666254,.41484785,.12586354,.38935098
RUS,Russian Federation,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,8,0,2019,,,,,,,,,,,,,.036143553,.036143553,.024284273,.019525567,10.18673021487791,.11870135,.41390997,.13647632,.38774019
RUS,Russian Federation,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,8,1,2019,,,,,,,,,,,,,.029289646,.029289646,.021057481,.016686123,10.4520685945437,.13414225,.41572902,.11589257,.39086434
SAU,Saudi Arabia,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,4,-9,2019,.40909091,.36363637,.0090909088,.19090909,.42272729,.31818181,.26818183,.031818181,0,.19545455,.45454547,.26818183,.30483809,1,.19928195,1,9.552122137979673,.3974753,.61519957,.18541147,.60164052
SAU,Saudi Arabia,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,4,0,2019,,,,,,,,,,,,,.25336006,1,.1701128,1,10.24228509102073,.29139733,.51123071,.11547512,.49501362
SAU,Saudi Arabia,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,4,1,2019,,,,,,,,,,,,,.35748029,1,.22911073,1,8.875337870927508,.49606973,.71183372,.25041395,.70074517
SAU,Saudi Arabia,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,8,-9,2019,.4832536,.038277511,.0095693776,.49282297,.40669855,.033492822,.26794258,.023923445,0,.50717705,.36363637,.028708134,.29324996,.30325267,.18576708,.18340519,10.22615953425112,.2628299,.47606307,.19859275,.44425613
SAU,Saudi Arabia,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,8,0,2019,,,,,,,,,,,,,.28130189,.29460314,.12321357,.11863258,10.62072939331776,.20249397,.40160796,.13328357,.37109441
SAU,Saudi Arabia,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,8,1,2019,,,,,,,,,,,,,.30596682,.31245875,.25234553,.25234553,9.835240000406296,.32158116,.54856265,.26218662,.51549631
SAU,Saudi Arabia,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,4,-9,2023,.58411217,.26635513,.023364486,.21028037,.58878505,.16355141,.5373832,.084112152,.004672897,.23364486,.59345794,.13551402,.26490262,1,.22946583,1,9.546338295754396,.39755794,.58503222,.28881174,.57071292
SAU,Saudi Arabia,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,4,0,2023,,,,,,,,,,,,,.29581621,1,.27782953,1,10.17451823037468,.33890271,.51980513,.22629583,.50605106
SAU,Saudi Arabia,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,4,1,2023,,,,,,,,,,,,,.22706422,1,.17026834,1,8.846917143074373,.45447466,.64832604,.3494747,.6334582
SAU,Saudi Arabia,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,8,-9,2023,.57004833,.096618354,.0048309178,.38647342,.4879227,.048309177,.28502417,.019323671,0,.39613527,.46859902,.043478262,.34639347,.34951675,.29300973,.28118587,10.23648279912151,.31085441,.49087355,.19731617,.48035142
SAU,Saudi Arabia,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,8,0,2023,,,,,,,,,,,,,.33395621,.33395621,.27986509,.2616339,10.74442819491884,.24416631,.42500743,.14918309,.41020593
SAU,Saudi Arabia,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,8,1,2023,,,,,,,,,,,,,.35774755,.36372212,.3050096,.29903504,9.710041237054174,.37326464,.55251449,.24236165,.54599726
SGP,Singapore,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,4,-9,2019,.63636363,.069518715,0,.46524063,.48663101,.037433155,.037433155,0,0,.4973262,.45989305,.021390375,.031740729,1,0,1,9.723303844929189,.30451787,.51329076,.083576307,.49719533
SGP,Singapore,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,4,0,2019,,,,,,,,,,,,,.018493611,1,0,1,9.978703947103613,.23931748,.4397696,.07631065,.42279258
SGP,Singapore,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,4,1,2019,,,,,,,,,,,,,.044820718,1,0,1,9.475801852578273,.36763757,.58446574,.090610109,.56922376
SGP,Singapore,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,8,-9,2019,.49673203,.026143791,0,.503268,.41830066,.026143791,.12418301,0,0,.52941179,.35947713,.019607844,.051308468,.051308468,0,0,9.549851611196633,.25219873,.47528982,.15415247,.44252881
SGP,Singapore,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,8,0,2019,,,,,,,,,,,,,.043110736,.043110736,0,0,9.831656272273968,.13886777,.37999043,.12054927,.33861744
SGP,Singapore,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,8,1,2019,,,,,,,,,,,,,.059107359,.059107359,0,0,9.280296216245558,.36049235,.56635338,.18626209,.54182154
SGP,Singapore,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,4,-9,2023,.76243097,.099447511,0,.23204421,.71270716,.044198897,.13259669,0,0,.29281768,.66850829,.027624309,.026799388,1,.010719755,1,9.927987202525536,.3536858,.55947226,.14717096,.54286402
SGP,Singapore,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,4,0,2023,,,,,,,,,,,,,.029758215,1,.01549907,1,10.0854313371878,.31919211,.52171385,.13936977,.50319517
SGP,Singapore,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,4,1,2023,,,,,,,,,,,,,.023910411,1,.0060532689,1,9.773716358574202,.38728872,.59625566,.15477069,.58150846
SGP,Singapore,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,8,-9,2023,.52413791,.11724138,0,.41379312,.50344825,.062068965,.32413793,.0068965517,0,.45517242,.46896553,.04137931,.055532273,.055532273,.018231349,.018231349,10.00744421154791,.31269729,.52444524,.19865532,.49826616
SGP,Singapore,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,8,0,2023,,,,,,,,,,,,,.042082429,.042082429,.012581345,.012581345,10.16461486552515,.24242903,.46200308,.15508389,.42888707
SGP,Singapore,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,8,1,2023,,,,,,,,,,,,,.068098903,.068098903,.023510337,.023510337,9.863944272812551,.37638494,.58103967,.23814628,.56114787
SRB,Serbia,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,-9,2019,.17575757,.024242423,.0060606059,.53333336,.07272727,.018181818,.018181818,.0060606059,0,.4969697,.07272727,.018181818,.14645757,1,.088255696,1,11.06906630891055,.15882006,.28479061,.055021428,.2784985
SRB,Serbia,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,0,2019,,,,,,,,,,,,,.14267945,1,.083988525,1,11.28443416729511,.1165236,.23803444,.041214671,.23353973
SRB,Serbia,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,1,2019,,,,,,,,,,,,,.15020114,1,.092483848,1,10.85431732250433,.20102262,.33144298,.068797536,.32335749
SRB,Serbia,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,-9,2023,.39240506,.06329114,0,.49367088,.30379745,.050632913,.12025317,.012658228,0,.52531648,.28481013,.018987341,.11475358,1,.023129083,1,10.52387705062757,.24914229,.42481634,.13958071,.40739554
SRB,Serbia,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,0,2023,,,,,,,,,,,,,.10817365,1,.020438479,1,10.68773542789515,.21417885,.39248863,.12224472,.3719216
SRB,Serbia,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,1,2023,,,,,,,,,,,,,.12162205,1,.025937675,1,10.35237935158795,.285043,.45801067,.15738143,.44382045
SVK,Slovak Republic,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,4,-9,2019,.3566879,.063694268,.0063694268,.49044585,.34394905,.070063695,.044585988,.0063694268,0,.52229297,.30573249,.070063695,.13825153,1,.059932869,1,10.17735719755233,.2464433,.46537915,.082671277,.45607543
SVK,Slovak Republic,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,4,0,2019,,,,,,,,,,,,,.13902485,1,.057718329,1,10.35224815746298,.19750626,.43314588,.077672057,.42492539
SVK,Slovak Republic,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,4,1,2019,,,,,,,,,,,,,.13751315,1,.062047359,1,10.00950799486115,.2934016,.4963091,.087468356,.48596594
SVK,Slovak Republic,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,4,-9,2023,.56172842,.043209877,0,.39506173,.45061728,.061728396,.11728395,0,0,.42592594,.42592594,.049382716,.11907132,1,.051006984,1,10.25599331332131,.27918261,.48997682,.12128366,.47526801
SVK,Slovak Republic,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,4,0,2023,,,,,,,,,,,,,.11796589,1,.05113975,1,10.43207055277891,.24002844,.44683033,.1194111,.43042988
SVK,Slovak Republic,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,4,1,2023,,,,,,,,,,,,,.12015824,1,.050876439,1,10.08271933894482,.31756973,.532278,.12311953,.51922768
SVN,Slovenia,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,4,-9,2023,.56375837,.060402684,0,.57718122,.3489933,.026845638,.053691275,.0067114094,0,.62416106,.30201343,.026845638,.30619332,1,.11066907,1,10.15993282617912,.28983426,.46778086,.10911582,.45852736
SVN,Slovenia,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,4,0,2023,,,,,,,,,,,,,.30505067,1,.11020976,1,10.37800544411404,.25241655,.43808508,.07631737,.42854133
SVN,Slovenia,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,4,1,2023,,,,,,,,,,,,,.30732635,1,.11112449,1,9.945108241433816,.32604331,.49651739,.14085481,.48754478
SWE,Sweden,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,4,-9,2019,.44827586,.048275862,.0068965517,.48965517,.37241378,.048275862,.048275862,0,0,.48965517,.35172415,.04137931,.46955493,1,.17543125,1,10.0462220841639,.24515252,.4475697,.08544001,.43757236
SWE,Sweden,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,4,0,2019,,,,,,,,,,,,,.46243697,1,.16801468,1,10.09111703384485,.22672294,.43307343,.10727687,.42011145
SWE,Sweden,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,4,1,2019,,,,,,,,,,,,,.47683486,1,.18301663,1,10.00098242215248,.26355469,.46204445,.063635603,.45500734
SWE,Sweden,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,8,-9,2019,.12666667,.0066666668,0,.64666665,.14666666,0,.02,.0066666668,0,.65333331,.12666667,0,.49120966,.50199717,.13302431,.029416502,10.33902045331293,.15104744,.34040543,.087856255,.33054119
SWE,Sweden,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,8,0,2019,,,,,,,,,,,,,.48794141,.49955115,.13426307,.03265892,10.2870789172574,.12293372,.33967277,.10183132,.32801846
SWE,Sweden,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,8,1,2019,,,,,,,,,,,,,.49439561,.50438154,.13181673,.026255723,10.39024144307331,.17819987,.34111306,.07435903,.33297762
SWE,Sweden,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,4,-9,2023,.42500001,.043749999,0,.55000001,.31874999,.043749999,.087499999,.0062500001,0,.56875002,.3125,.03125,.47371182,1,.17497729,1,10.31469112388398,.25431347,.44735721,.10925382,.43915036
SWE,Sweden,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,4,0,2023,,,,,,,,,,,,,.46796331,1,.16910684,1,10.38914799487254,.231833,.4263643,.1268685,.41611466
SWE,Sweden,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,4,1,2023,,,,,,,,,,,,,.47964686,1,.1810382,1,10.23568654738342,.27767131,.46916947,.090951659,.46308514
SWE,Sweden,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,8,-9,2023,.31818181,.0064935065,0,.72077924,.18831168,0,.071428575,0,0,.73376626,.16233766,0,.47793224,.48374289,.14556269,.05610086,10.43508044628153,.20624885,.39009026,.13302036,.37591332
SWE,Sweden,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,8,0,2023,,,,,,,,,,,,,.46338806,.46734565,.1314417,.051049445,10.26601461353391,.20739226,.43373728,.14271666,.41930127
SWE,Sweden,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,8,1,2023,,,,,,,,,,,,,.49187303,.49945986,.15909785,.060942702,10.60179201982841,.20516947,.34888715,.12386698,.33495477
TUR,Turkey,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,-9,2019,.55555558,.14444445,.0055555557,.22777778,.49444443,.25,.11666667,.016666668,0,.27777779,.48333332,.21111111,.35629061,1,.14255534,1,9.902376687196911,.32450315,.59739196,.12606972,.57749921
TUR,Turkey,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,0,2019,,,,,,,,,,,,,.35252923,1,.14329639,1,10.19491632904313,.270769,.54136801,.093842104,.5191437
TUR,Turkey,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,1,2019,,,,,,,,,,,,,.36050037,1,.14172594,1,9.573013019516331,.38405979,.65948659,.16178943,.642178
TUR,Turkey,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,8,-9,2019,.55801105,.160221,.016574586,.28729281,.58011049,.12154696,.016574586,0,0,.33701658,.54143649,.088397793,.19447257,.19447257,.10553034,.10385288,9.903382889166048,.34439278,.56741601,.080067351,.52684402
TUR,Turkey,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,8,0,2019,,,,,,,,,,,,,.1773131,.1773131,.098434381,.096895814,10.13517548148319,.28901365,.51328462,.052224696,.47151908
TUR,Turkey,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,8,1,2019,,,,,,,,,,,,,.21161219,.21161219,.1126181,.1108019,9.669040905872743,.40065449,.62241018,.10835376,.58305067
TUR,Turkey,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,-9,2023,.53191489,.41843972,.021276595,.035460994,.52482271,.43971631,.27659574,0,0,.092198581,.55319148,.35460994,.27338964,1,.14452536,1,9.594717305539767,.46715039,.71730846,.20277286,.68279052
TUR,Turkey,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,0,2023,,,,,,,,,,,,,.29426086,1,.16499856,1,9.823543095602691,.40723795,.68322802,.15910855,.64478457
TUR,Turkey,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,4,1,2023,,,,,,,,,,,,,.25397933,1,.12548527,1,9.382443402399218,.52263778,.7488718,.24321219,.71798939
TUR,Turkey,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,8,-9,2023,.49645391,.43971631,.028368793,.021276595,.51773047,.45390069,.34751773,.021276595,0,.035460994,.56028366,.39716312,.23085596,.23317328,.13690434,.12439918,9.448363050300811,.48562992,.72816551,.22335871,.7087664
TUR,Turkey,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,8,0,2023,,,,,,,,,,,,,.21376036,.21558249,.13071634,.12037618,9.539586811123993,.44160357,.71715242,.19532371,.69657052
TUR,Turkey,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,8,1,2023,,,,,,,,,,,,,.25012645,.25300196,.14387959,.12893398,9.35150053737881,.53212065,.73979515,.25296298,.721645
TWN,"Taiwan, China",EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,4,-9,2023,.46511629,.037209302,.0046511628,.46976745,.41395348,.037209302,.023255814,0,0,.50232559,.3860465,.027906977,.052481398,1,.035227191,1,10.48884554388789,.24825944,.45949927,.059303645,.45253861
TWN,"Taiwan, China",EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,4,0,2023,,,,,,,,,,,,,.047297437,1,.029712051,1,10.70136270032659,.19969168,.40177554,.046471428,.39045468
TWN,"Taiwan, China",EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,4,1,2023,,,,,,,,,,,,,.057040785,1,.040077858,1,10.29483880282672,.29249004,.51206821,.070989929,.50907838
TWN,"Taiwan, China",EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,8,-9,2023,.054347824,0,0,.53260869,.092391305,0,.0054347827,0,0,.52173913,.086956523,0,.050811075,.050811075,.034353495,.01632007,11.28163986454621,.10861447,.30037594,.050726343,.29285362
TWN,"Taiwan, China",EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,8,0,2023,,,,,,,,,,,,,.04173911,.04173911,.023569373,.0093711279,11.30387438955585,.080788143,.27532551,.051410671,.26759225
TWN,"Taiwan, China",EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,8,1,2023,,,,,,,,,,,,,.058789678,.058789678,.043837897,.022431515,11.26105007368597,.13427892,.32348016,.050095186,.31615239
USA,United States,NAC,North America,,,HIC,High income,LNX,Not classified,4,-9,2019,.4738676,.024390243,0,.55052263,.37282231,.013937282,.020905923,0,0,.56794423,.33797911,.013937282,.19814235,1,.10187491,1,9.976884672903525,.25719342,.45211902,.076235175,.43712983
USA,United States,NAC,North America,,,HIC,High income,LNX,Not classified,4,0,2019,,,,,,,,,,,,,.20684265,1,.10300666,1,10.09334058540085,.23043953,.42457053,.064054549,.40712011
USA,United States,NAC,North America,,,HIC,High income,LNX,Not classified,4,1,2019,,,,,,,,,,,,,.18990214,1,.100803,1,9.86439367469816,.28268871,.4783715,.087842777,.46572775
USA,United States,NAC,North America,,,HIC,High income,LNX,Not classified,8,-9,2019,.35164836,.021978023,0,.52747256,.36263737,.010989011,.07692308,0,0,.55677658,.32600734,.0073260074,.25915536,.26105705,.1281534,.079346731,9.823041942654751,.21511883,.44058296,.12663716,.42770317
USA,United States,NAC,North America,,,HIC,High income,LNX,Not classified,8,0,2019,,,,,,,,,,,,,.25320271,.25553918,.11933127,.068695404,9.669731112660083,.20596907,.45881328,.16285779,.43953884
USA,United States,NAC,North America,,,HIC,High income,LNX,Not classified,8,1,2019,,,,,,,,,,,,,.26452833,.26603755,.1361164,.088960811,9.976981395050654,.2240534,.42278138,.091268346,.41614583
USA,United States,NAC,North America,,,HIC,High income,LNX,Not classified,4,-9,2023,.6859504,.11983471,.0082644625,.29338843,.65289259,.037190083,.11983471,0,.0041322312,.36363637,.59090906,.02892562,.18604635,1,.06746351,1,9.849975857425298,.35229674,.54198402,.14406154,.52606124
USA,United States,NAC,North America,,,HIC,High income,LNX,Not classified,4,0,2023,,,,,,,,,,,,,.18799694,1,.070588112,1,9.961438446427987,.32311508,.52277905,.1353917,.5050506
USA,United States,NAC,North America,,,HIC,High income,LNX,Not classified,4,1,2023,,,,,,,,,,,,,.18417752,1,.064469881,1,9.739319896048057,.38073671,.56070083,.152511,.54653788
USA,United States,NAC,North America,,,HIC,High income,LNX,Not classified,8,-9,2023,.68246448,.094786733,.0047393367,.2843602,.65876776,.033175357,.36018959,.0047393367,0,.31753555,.62559241,.033175357,.27044722,.27911159,.099947669,.04012027,9.805603557300287,.33787116,.55413854,.2142698,.54289997
USA,United States,NAC,North America,,,HIC,High income,LNX,Not classified,8,0,2023,,,,,,,,,,,,,.26985052,.27826259,.09805458,.042053722,9.646603241271512,.33766448,.57417977,.23952018,.5616731
USA,United States,NAC,North America,,,HIC,High income,LNX,Not classified,8,1,2023,,,,,,,,,,,,,.27101228,.2799156,.1017404,.03828932,9.959194570728307,.33807009,.53485149,.18996963,.52483332
UZB,Uzbekistan,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),LMC,Lower middle income,IDB,Blend,4,-9,2023,.56024098,.20481928,.012048192,.24096386,.52409637,.18072289,.40963855,.030120483,.0060240962,.29518071,.50602412,.14457831,.47905055,1,.47443342,1,10.01246996884518,.37062168,.58064926,.25155181,.56501448
UZB,Uzbekistan,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),LMC,Lower middle income,IDB,Blend,4,0,2023,,,,,,,,,,,,,.48709714,1,.48547062,1,10.38740812455077,.31242126,.52415752,.18994355,.51271033
UZB,Uzbekistan,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),LMC,Lower middle income,IDB,Blend,4,1,2023,,,,,,,,,,,,,.47133094,1,.46384475,1,9.659113162810115,.42560071,.63401419,.30975005,.61442357
UZB,Uzbekistan,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),LMC,Lower middle income,IDB,Blend,8,-9,2023,.57831323,.054216869,.0060240962,.31927711,.58433735,.054216869,.24096386,.0060240962,0,.36746988,.54216868,.048192769,.52223325,.52670699,.49929947,.52474278,10.19898286717918,.29979426,.53431857,.18303151,.52404666
UZB,Uzbekistan,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),LMC,Lower middle income,IDB,Blend,8,0,2023,,,,,,,,,,,,,.54458261,.54821157,.52292126,.54597682,10.59022277545092,.23721333,.47477418,.11919424,.46636367
UZB,Uzbekistan,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),LMC,Lower middle income,IDB,Blend,8,1,2023,,,,,,,,,,,,,.49968186,.5050081,.4754642,.50331688,9.801790084843294,.3619515,.59345984,.24643655,.58133912
XKX,Kosovo,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IDX,IDA,4,-9,2019,.12413793,.020689655,0,.56551725,.096551724,.0068965517,.034482758,0,0,.55172414,.089655176,.0068965517,.25346059,1,.21356866,1,11.13370990549272,.14072399,.30567291,.069008313,.29753864
XKX,Kosovo,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IDX,IDA,4,0,2019,,,,,,,,,,,,,.24708658,1,.21182725,1,11.42949516066084,.11666624,.24901746,.053766064,.24344793
XKX,Kosovo,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IDX,IDA,4,1,2019,,,,,,,,,,,,,.2592777,1,.21515791,1,10.85158624607826,.16341805,.35911691,.08338657,.34856331
XKX,Kosovo,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IDX,IDA,4,-9,2023,.6381579,.092105262,.0065789474,.35526314,.55263156,.065789476,.27631578,.0065789474,.0065789474,.38157895,.52631581,.065789476,.40243259,1,.30679351,1,10.1672734368657,.33042896,.53784949,.20211601,.52119684
XKX,Kosovo,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IDX,IDA,4,0,2023,,,,,,,,,,,,,.40631726,1,.30928308,1,10.53272753876233,.28876892,.47652724,.1563683,.46075091
XKX,Kosovo,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IDX,IDA,4,1,2023,,,,,,,,,,,,,.39891475,1,.30453908,1,9.819745216850206,.36893481,.59452897,.24440008,.5770663
ZAF,South Africa,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),UMC,Upper middle income,IBD,IBRD,4,-9,2019,.19191919,.61952859,.13804714,.043771043,.1952862,.76094276,.36363637,.33333334,.043771043,.047138046,.22895622,.72390574,.43761852,1,.14573781,1,8.381366643865704,.57679898,.8169871,.39069608,.80164248
